pan,tilt,distance,temperature,valid
18,97,53,49,1
20,97,59,49,1
22,97,77,49,1
24,97,78,49,1
26,97,78,49,1
28,97,79,49,1
30,97,79,49,1
32,97,75,49,1
34,97,68,49,1
36,97,81,49,1
38,97,83,49,1
40,97,85,49,1
42,97,86,49,1
44,97,88,49,1
46,97,89,49,1
48,97,90,49,1
50,97,83,49,1
52,97,88,49,1
54,97,98,49,1
56,97,101,49,1
58,97,104,49,1
60,97,107,49,1
62,97,111,49,1
64,97,114,49,1
66,97,96,49,1
68,97,96,49,1
70,97,98,49,1
72,97,101,49,1
74,97,102,49,1
76,97,107,49,1
78,97,107,49,1
80,97,112,49,1
82,97,114,49,1
84,97,117,49,1
86,97,120,49,1
88,97,126,49,1
90,97,132,49,1
92,97,0,49,0
94,97,302,49,1
96,97,376,49,1
98,97,381,49,1
100,97,377,49,1
102,97,382,49,1
104,97,376,49,1
106,97,380,49,1
108,97,378,49,1
110,97,374,49,1
112,97,371,49,1
114,97,372,49,1
116,97,342,49,1
118,97,341,49,1
120,97,344,49,1
122,97,346,49,1
124,97,349,49,1
126,97,351,49,1
128,97,355,49,1
130,97,358,49,1
132,97,363,49,1
134,97,373,49,1
136,97,380,49,1
138,97,387,49,1
140,97,391,49,1
142,97,395,49,1
144,97,402,49,1
146,97,391,49,1
148,97,369,49,1
150,97,359,49,1
152,97,341,49,1
154,97,323,49,1
156,97,309,49,1
158,97,299,49,1
160,97,289,49,1
162,97,282,49,1
164,97,272,49,1
166,97,267,49,1
168,97,260,49,1
170,97,255,49,1
172,97,248,49,1
174,97,243,49,1
176,97,238,49,1
178,97,235,49,1
180,100,226,49,1
178,100,61,49,1
176,100,67,49,1
174,100,82,49,1
172,100,204,49,1
170,100,235,49,1
168,100,244,49,1
166,100,248,49,1
164,100,254,49,1
162,100,262,49,1
160,100,270,49,1
158,100,277,49,1
156,100,286,49,1
154,100,295,49,1
152,100,304,49,1
150,100,315,49,1
148,100,332,49,1
146,100,342,49,1
144,100,360,49,1
142,100,380,49,1
140,100,399,49,1
138,100,393,49,1
136,100,384,49,1
134,100,378,49,1
132,100,371,49,1
130,100,365,49,1
128,100,354,49,1
126,100,351,49,1
124,100,346,49,1
122,100,342,49,1
120,100,340,49,1
118,100,337,49,1
116,100,340,49,1
114,100,330,49,1
112,100,363,49,1
110,100,361,49,1
108,100,357,49,1
106,100,362,49,1
104,100,365,49,1
102,100,359,49,1
100,100,364,49,1
98,100,368,49,1
96,100,368,49,1
94,100,372,49,1
92,100,355,49,1
90,100,321,49,1
88,100,220,49,1
86,100,138,49,1
84,100,133,49,1
82,100,156,49,1
80,100,186,49,1
78,100,185,49,1
76,100,174,49,1
74,100,154,49,1
72,100,144,49,1
70,100,138,49,1
68,100,130,49,1
66,100,113,49,1
64,100,101,49,1
62,100,112,49,1
60,100,111,49,1
58,100,107,49,1
56,100,100,49,1
54,100,84,49,1
52,100,82,49,1
50,100,83,49,1
48,100,91,49,1
46,100,91,49,1
44,100,88,49,1
42,100,87,49,1
40,100,85,49,1
38,100,84,49,1
36,100,74,49,1
34,100,59,49,1
32,100,56,49,1
30,100,55,49,1
28,100,71,49,1
26,100,78,49,1
24,100,77,49,1
22,100,77,49,1
20,100,76,49,1
18,100,76,49,1
16,100,63,49,1
14,100,52,49,1
12,100,51,49,1
10,100,50,49,1
8,100,49,49,1
6,100,49,49,1
4,100,50,49,1
2,100,60,49,1
0,103,79,49,1
2,103,79,49,1
4,103,79,49,1
6,103,59,49,1
8,103,48,49,1
10,103,48,49,1
12,103,49,49,1
14,103,49,49,1
16,103,50,49,1
18,103,51,49,1
20,103,71,49,1
22,103,75,49,1
24,103,76,49,1
26,103,76,49,1
28,103,77,49,1
30,103,77,49,1
32,103,55,49,1
34,103,54,49,1
36,103,56,49,1
38,103,60,49,1
40,103,82,49,1
42,103,84,49,1
44,103,86,49,1
46,103,87,49,1
48,103,88,49,1
50,103,91,49,1
52,103,94,49,1
54,103,95,49,1
56,103,84,49,1
58,103,83,49,1
60,103,83,49,1
62,103,100,49,1
64,103,90,49,1
66,103,93,49,1
68,103,117,49,1
70,103,127,49,1
72,103,134,49,1
74,103,138,49,1
76,103,150,49,1
78,103,158,49,1
80,103,163,49,1
82,103,144,49,1
84,103,140,49,1
86,103,172,49,1
88,103,227,49,1
90,103,247,49,1
92,103,276,49,1
94,103,328,49,1
96,103,369,49,1
98,103,369,49,1
100,103,361,49,1
102,103,365,49,1
104,103,354,49,1
106,103,360,49,1
108,103,359,49,1
110,103,357,49,1
112,103,358,49,1
114,103,360,49,1
116,103,328,49,1
118,103,338,49,1
120,103,334,49,1
122,103,335,49,1
124,103,337,49,1
126,103,340,49,1
128,103,344,49,1
130,103,347,49,1
132,103,352,49,1
134,103,362,49,1
136,103,368,49,1
138,103,376,49,1
140,103,383,49,1
142,103,391,49,1
144,103,391,49,1
146,103,373,49,1
148,103,353,49,1
150,103,338,49,1
152,103,322,49,1
154,103,310,49,1
156,103,301,49,1
158,103,292,49,1
160,103,282,49,1
162,103,275,49,1
164,103,266,49,1
166,103,258,49,1
168,103,252,49,1
170,103,247,49,1
172,103,239,49,1
174,103,108,49,1
176,103,72,49,1
178,103,66,49,1
180,106,55,49,1
178,106,47,49,1
176,106,52,49,1
174,106,58,49,1
172,106,64,49,1
170,106,69,49,1
168,106,78,49,1
166,106,233,49,1
164,106,248,49,1
162,106,255,49,1
160,106,264,49,1
158,106,271,49,1
156,106,280,49,1
154,106,289,49,1
152,106,299,49,1
150,106,307,49,1
148,106,327,49,1
146,106,335,49,1
144,106,350,49,1
142,106,370,49,1
140,106,388,49,1
138,106,386,49,1
136,106,376,49,1
134,106,370,49,1
132,106,362,49,1
130,106,357,49,1
128,106,347,49,1
126,106,344,49,1
124,106,338,49,1
122,106,336,49,1
120,106,332,49,1
118,106,331,49,1
116,106,330,49,1
114,106,325,49,1
112,106,351,49,1
110,106,357,49,1
108,106,350,49,1
106,106,352,49,1
104,106,357,49,1
102,106,353,49,1
100,106,357,49,1
98,106,361,49,1
96,106,361,49,1
94,106,365,49,1
92,106,343,49,1
90,106,300,49,1
88,106,256,49,1
86,106,231,49,1
84,106,140,49,1
82,106,130,49,1
80,106,132,49,1
78,106,136,49,1
76,106,152,49,1
74,106,150,49,1
72,106,142,49,1
70,106,136,49,1
68,106,100,49,1
66,106,114,49,1
64,106,117,49,1
62,106,100,49,1
60,106,87,49,1
58,106,84,49,1
56,106,83,49,1
54,106,99,49,1
52,106,96,49,1
50,106,94,49,1
48,106,91,49,1
46,106,89,49,1
44,106,85,49,1
42,106,84,49,1
40,106,82,49,1
38,106,81,49,1
36,106,73,49,1
34,106,57,49,1
32,106,53,49,1
30,106,51,49,1
28,106,52,49,1
26,106,52,49,1
24,106,51,49,1
22,106,49,49,1
20,106,49,49,1
18,106,48,49,1
16,106,48,49,1
14,106,47,49,1
12,106,48,49,1
10,106,48,49,1
8,106,48,49,1
6,106,49,49,1
4,106,50,49,1
2,106,50,49,1
0,109,61,49,1
2,109,70,49,1
4,109,76,49,1
6,109,42,49,1
8,109,64,49,1
10,109,70,49,1
12,109,71,49,1
